H_ENTRY_001	SUPPORTED	Trend confirmation entry timing carries no meaningful directional edge, and may 
H_XSECT_005	INCONCLUSIVE	EXECUTION-MECHANICS INVESTIGATION (EDGE DISCOVERY mission continuation, 2026-09-
H_XSECT_006	REJECTED	Does H_XSECT_005's cross-sectional laggard portfolio effect survive on a materia
H_VOL_001	REJECTED	Volatility contraction (the classic 'quiet before the storm' pattern): does a st
H_MEANREV_003	INCONCLUSIVE	Does H_MEANREV_001's oversold mean-reversion entry (zscore_close_20 below a froz
H_MEANREV_004	REJECTED	Does H_MEANREV_003's raw finding (oversold mean-reversion entries gated on NIFTY
H_EXIT_005	REJECTED	Is there a structurally different exit architecture -- not a stop-width retune -
H_EXTREME_001	REJECTED	Does NSE show a real, forward-return asymmetry following an EXTREME 5-day cumula
H_MOMENTUM_001	INCONCLUSIVE	Does a single stock's own SHORT-TERM weakness (trailing_return_5 in the lower ta
H_BREADTH_001	REJECTED	Does NSE market BREADTH -- the fraction of the 32-symbol universe individually c
H_MEANREV_005	REJECTED	Universe-generalization check for H_MEANREV_003: does the raw finding (zscore_cl
H_MEANREV_006	INCONCLUSIVE	Mechanism decomposition of the generalized NSE oversold effect (H_MEANREV_005's 
H_MEANREV_007	REJECTED	Confounding/mechanism test: does the strongest part of the generalized oversold 
H_MEANREV_008	INCONCLUSIVE	Risk characterization: is the larger mean forward return of the high-volatility 
H_MEANREV_009	REJECTED	Initial executable design, per explicit user mandate: derive an executable versi
H_MEANREV_010	INCONCLUSIVE	Does H_MEANREV_009's own demonstrated gross edge survive a DIFFERENT execution/s
H_MEANREV_011	REJECTED	Does the frozen H_MEANREV_006 signal, exited the same frozen h10 way, survive co
H_MEANREV_012	REJECTED	A test of PORTFOLIO SIGNAL SELECTION, not a new alpha hypothesis: can simultaneo
H_BASELINE_001	REJECTED	TrendMomentumBaseline v1.0, as a whole frozen production strategy (not a modific
