H_MEANREV_004	REJECTED	Does H_MEANREV_003's raw finding (oversold mean-reversion entries gated on NIFTY's own TRENDING_UP r
H_EXIT_005	REJECTED	Is there a structurally different exit architecture -- not a stop-width retune -- that lets H_MEANRE
H_EXTREME_001	REJECTED	Does NSE show a real, forward-return asymmetry following an EXTREME 5-day cumulative price move (tra
H_MOMENTUM_001	INCONCLUSIVE	Does a single stock's own SHORT-TERM weakness (trailing_return_5 in the lower tail of its own distri
H_BREADTH_001	REJECTED	Does NSE market BREADTH -- the fraction of the 32-symbol universe individually classified TRENDING_U
H_MEANREV_005	REJECTED	Universe-generalization check for H_MEANREV_003: does the raw finding (zscore_close_20 oversold entr
H_MEANREV_006	INCONCLUSIVE	Mechanism decomposition of the generalized NSE oversold effect (H_MEANREV_005's own validated raw fi
H_MEANREV_007	REJECTED	Confounding/mechanism test: does the strongest part of the generalized oversold effect remain after 
H_MEANREV_008	INCONCLUSIVE	Risk characterization: is the larger mean forward return of the high-volatility bucket (H_MEANREV_00
H_MEANREV_009	REJECTED	Initial executable design, per explicit user mandate: derive an executable version of H_MEANREV_006'
H_MEANREV_010	INCONCLUSIVE	Does H_MEANREV_009's own demonstrated gross edge survive a DIFFERENT execution/sizing/cost structure
H_MEANREV_011	REJECTED	Does the frozen H_MEANREV_006 signal, exited the same frozen h10 way, survive conversion into a real
H_MEANREV_012	REJECTED	A test of PORTFOLIO SIGNAL SELECTION, not a new alpha hypothesis: can simultaneous H_MEANREV_006 sig
H_BASELINE_001	REJECTED	TrendMomentumBaseline v1.0, as a whole frozen production strategy (not a modification or variant of 
